,bus,p_min_pu_fixed,capital_cost,p_nom_extendable,p_nom,p_nom_opt,carrier,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch
AT PHS,AT,-1.0,0.0,False,3800.0,3800.0,PHS,True,6.0,0.866025403784,0.866025403784
AT hydro,AT,0.0,0.0,False,5252.12522677,5252.12522677,hydro,True,609.277171018,0.0,1.0
AT H2,AT,-1.0,195362.993923,True,0.0,0.0429412408711,H2,True,168.0,0.75,0.58
AT battery,AT,-1.0,120388.58286,True,0.0,0.221568706394,battery,True,6.0,0.9,0.9
FI hydro,FI,0.0,0.0,False,640.0,640.0,hydro,True,8593.75,0.0,1.0
FI H2,FI,-1.0,195362.993923,True,0.0,0.0159294758509,H2,True,168.0,0.75,0.58
FI battery,FI,-1.0,120388.58286,True,0.0,0.013799075709,battery,True,6.0,0.9,0.9
NL H2,NL,-1.0,195362.993923,True,0.0,0.132920264941,H2,True,168.0,0.75,0.58
NL battery,NL,-1.0,120388.58286,True,0.0,0.0162767078003,battery,True,6.0,0.9,0.9
BA PHS,BA,-1.0,0.0,False,620.0,620.0,PHS,True,6.0,0.866025403784,0.866025403784
BA hydro,BA,0.0,0.0,False,1230.0,1230.0,hydro,True,2032.5203252,0.0,1.0
BA H2,BA,-1.0,195362.993923,True,0.0,0.00849993240806,H2,True,168.0,0.75,0.58
BA battery,BA,-1.0,120388.58286,True,0.0,461.08300449,battery,True,6.0,0.9,0.9
FR PHS,FR,-1.0,0.0,False,6990.0,6990.0,PHS,True,6.0,0.866025403784,0.866025403784
FR hydro,FR,0.0,0.0,False,11247.2571232,11247.2571232,hydro,True,871.323549611,0.0,1.0
FR H2,FR,-1.0,195362.993923,True,0.0,10611.4252477,H2,True,168.0,0.75,0.58
FR battery,FR,-1.0,120388.58286,True,0.0,0.0528383914368,battery,True,6.0,0.9,0.9
NO PHS,NO,-1.0,0.0,False,1350.0,1350.0,PHS,True,6.0,0.866025403784,0.866025403784
NO hydro,NO,0.0,0.0,False,28192.0026615,28192.0026615,hydro,True,2993.75681158,0.0,1.0
NO H2,NO,-1.0,195362.993923,True,0.0,0.0101104170081,H2,True,168.0,0.75,0.58
NO battery,NO,-1.0,120388.58286,True,0.0,0.0075067008455,battery,True,6.0,0.9,0.9
BE PHS,BE,-1.0,0.0,False,1310.0,1310.0,PHS,True,6.0,0.866025403784,0.866025403784
BE hydro,BE,0.0,0.0,False,1278.0,1278.0,hydro,True,0.0,0.0,1.0
BE H2,BE,-1.0,195362.993923,True,0.0,0.0663494960007,H2,True,168.0,0.75,0.58
BE battery,BE,-1.0,120388.58286,True,0.0,0.0207006981916,battery,True,6.0,0.9,0.9
GB PHS,GB,-1.0,0.0,False,2740.0,2740.0,PHS,True,6.0,0.866025403784,0.866025403784
GB hydro,GB,0.0,0.0,False,3544.0,3544.0,hydro,True,0.0,0.0,1.0
GB H2,GB,-1.0,195362.993923,True,0.0,24617.2092439,H2,True,168.0,0.75,0.58
GB battery,GB,-1.0,120388.58286,True,0.0,0.0126904798881,battery,True,6.0,0.9,0.9
PL PHS,PL,-1.0,0.0,False,1400.0,1400.0,PHS,True,6.0,0.866025403784,0.866025403784
PL hydro,PL,0.0,0.0,False,686.516854025,686.516854025,hydro,True,2330.60556433,0.0,1.0
PL H2,PL,-1.0,195362.993923,True,0.0,0.0184785792471,H2,True,168.0,0.75,0.58
PL battery,PL,-1.0,120388.58286,True,0.0,0.0176497212217,battery,True,6.0,0.9,0.9
BG PHS,BG,-1.0,0.0,False,860.0,860.0,PHS,True,6.0,0.866025403784,0.866025403784
BG hydro,BG,0.0,0.0,False,2191.0,2191.0,hydro,True,1825.65038795,0.0,1.0
BG H2,BG,-1.0,195362.993923,True,0.0,0.00996549740403,H2,True,168.0,0.75,0.58
BG battery,BG,-1.0,120388.58286,True,0.0,2856.27520917,battery,True,6.0,0.9,0.9
GR PHS,GR,-1.0,0.0,False,700.0,700.0,PHS,True,6.0,0.866025403784,0.866025403784
GR hydro,GR,0.0,0.0,False,2592.0,2592.0,hydro,True,887.345679012,0.0,1.0
GR H2,GR,-1.0,195362.993923,True,0.0,620.190346669,H2,True,168.0,0.75,0.58
GR battery,GR,-1.0,120388.58286,True,0.0,837.650941757,battery,True,6.0,0.9,0.9
PT PHS,PT,-1.0,0.0,False,1030.0,1030.0,PHS,True,6.0,0.866025403784,0.866025403784
PT hydro,PT,0.0,0.0,False,1860.45753093,1860.45753093,hydro,True,1397.5056978,0.0,1.0
PT H2,PT,-1.0,195362.993923,True,0.0,0.00854311098913,H2,True,168.0,0.75,0.58
PT battery,PT,-1.0,120388.58286,True,0.0,6553.27601009,battery,True,6.0,0.9,0.9
CH PHS,CH,-1.0,0.0,False,4030.0,4030.0,PHS,True,6.0,0.866025403784,0.866025403784
CH hydro,CH,0.0,0.0,False,12792.7739858,12792.7739858,hydro,True,656.620683623,0.0,1.0
CH H2,CH,-1.0,195362.993923,True,0.0,0.0470236342526,H2,True,168.0,0.75,0.58
