,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,1051.28246318,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,2263.14522205,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,1569.05325316,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,27795.3250643,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,15864.3087147,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,6140.90219867,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,6483.57681278,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,2295.27790074,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,12331.449503,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,13827.8980683,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,18939.5790236,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,14977.770678,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,1217.1402491,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,222.274423473,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,6377.86615189,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,25751.966812,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3242.94998082,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,13526.5269666,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,7631.34723264,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,15464.1767627,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,25015.4397221,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,4586.71965083,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,26716.6693826,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,3264.96874463,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,2465.88199536,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,15011.06737,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,12763.6698709,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,6741.53136204,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,6960.06226658,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,1435.7902765,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,2227.92477005,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,3428.91939121,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,3725.27913749,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,8789.04724477,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,3316.97658593,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,57.8687191061,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,1966.94494098,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,4739.28500625,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,4575.04355283,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,0.0177487682594,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,7846.43498056,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,809.029989715,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,2992.09974118,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,10479.9231535,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,3031.95526723,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,22768.2247359,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,921.903285499,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,2778.05761044,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,190.902146333,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,188.371745062,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,2931.6402207,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,8167.1994846,LV,LT,180.803907912
