name,AT hydro,FI hydro,BA hydro,FR hydro,NO hydro,BE hydro,GB hydro,PL hydro,BG hydro,GR hydro,PT hydro,CH hydro,HR hydro,RO hydro,CZ hydro,HU hydro,RS hydro,DE hydro,IE hydro,SE hydro,IT hydro,SI hydro,ES hydro,LT hydro
2011-01-01 00:00:00,1073.82534064,158.848339171,1077.48016771,7539.47631075,4164.13304499,81.7155623795,361.871600589,135.544735051,624.266270922,383.480602859,1214.99368456,2694.21895561,1194.96598912,2020.4106404,299.706250374,73.2365521686,391.456798757,475.913721341,107.638571393,1850.06284818,4738.26804413,713.742244178,4523.55778189,40.0402542185
2011-01-01 01:00:00,1073.311957,158.747508937,1074.59530289,7533.79465374,4073.82764472,81.7256456739,362.395693984,135.530878217,624.008473411,383.266790848,1215.82403668,2692.40185176,1192.85632362,2019.70299837,299.69649565,73.2257571068,391.317543489,475.682773252,107.830926752,1848.2985374,4733.47013974,712.729027557,4525.40630096,40.0325425228
2011-01-01 02:00:00,1072.7960752,158.648522985,1071.72385763,7528.0715517,3992.19055976,81.7360685433,362.919914486,135.518450674,623.745980575,383.049945898,1216.64325667,2690.56817544,1190.75394588,2018.98404278,299.685569258,73.2146091667,391.176660249,475.451990859,108.016924142,1846.63167217,4728.6715645,711.713568367,4527.22659712,40.0247354664
2011-01-01 03:00:00,1072.27772871,158.551291734,1068.86572236,7522.3066222,3918.93835033,81.7468463654,363.443767886,135.507389344,623.478907649,382.830145605,1217.45090886,2688.7185617,1188.65887826,2018.25405634,299.67355038,73.2031127162,391.034220851,475.221223627,108.196648577,1845.05728301,4723.87256779,710.695918306,4529.01923543,40.0168516287
2011-01-01 04:00:00,1071.75695099,158.455725603,1066.02078749,7516.49948278,3853.78757668,81.757994518,363.966759977,135.49763115,623.207369863,382.607467566,1218.24655759,2686.85364565,1186.57114317,2017.51332179,299.660518198,73.1912721233,390.890297111,474.990321016,108.370185069,1843.57040046,4719.07339898,709.676129068,4530.78478093,40.008909589
2011-01-01 05:00:00,1071.23377549,158.361735012,1063.18894343,7510.649751,3796.45479904,81.7695283787,364.488396551,135.489113016,622.931482452,382.381989376,1219.0297672,2684.97406234,1184.49076298,2016.76212184,299.646551894,73.1790917561,390.744960842,474.759132491,108.537618632,1842.16605505,4714.27430746,708.654252352,4532.52379869,40.0009279269
2011-01-01 06:00:00,1070.70823567,158.269230378,1060.37008062,7504.7570444,3746.65657764,81.7814633252,365.008183401,135.481771864,622.651360648,382.153788632,1219.80010203,2683.08044686,1182.41776009,2016.00073923,299.631730651,73.1665759825,390.598283862,474.527507512,108.699034279,1840.83927731,4709.47554258,707.630339852,4534.23685375,39.9929252215
2011-01-01 07:00:00,1070.180365,158.178122122,1057.56408946,7498.82098055,3704.10947272,81.7938147352,365.525626319,135.475544618,622.367119683,381.92294293,1220.55712642,2681.17343428,1180.35215687,2015.22945667,299.616133649,73.1537291706,390.450337983,474.295295543,108.854517023,1839.58509778,4704.67735374,706.604443266,4535.92451116,39.9849200523
2011-01-01 08:00:00,1069.65019692,158.088320663,1054.77086037,7492.84117698,3668.53004451,81.8065979865,366.040231098,135.470368201,622.078874791,381.689529867,1221.3004047,2679.25365967,1178.29397573,2014.44855689,299.599840072,73.1405556885,390.301195022,474.062346046,109.004151878,1838.39854699,4699.87999029,705.57661429,4537.58733599,39.9769309987
2011-01-01 09:00:00,1069.1177649,157.999736419,1051.99028377,7486.81725126,3639.63485325,81.8198284567,366.551503529,135.466179535,621.786741205,381.453627039,1222.02950121,2677.32175812,1176.24323903,2013.65832263,299.582929102,73.127059904,390.150926794,473.828508485,109.148023855,1837.27465546,4695.08370162,704.54690462,4539.22589329,39.96897664
2011-01-01 10:00:00,1068.58310239,157.91227981,1049.22225007,7480.74882094,3617.14045916,81.8335215235,367.058949406,135.462915544,621.490834156,381.215312042,1222.74398029,2675.3783647,1174.19996918,2012.85903659,299.56547992,73.1132461852,389.999605112,473.59363232,109.286217969,1836.20845374,4690.28873711,703.515365952,4540.8407481,39.9610755557
2011-01-01 11:00:00,1068.04624286,157.825861254,1046.46664971,7474.63550356,3600.7634225,81.8476925647,367.562074521,135.460513152,621.191268878,380.974662472,1223.44340627,2673.42411449,1172.16418855,2012.05098151,299.547571709,73.0991189002,389.847301793,473.357567015,109.418819233,1835.19497235,4685.49534612,702.482049984,4542.43246548,39.953246325
2011-01-01 12:00:00,1067.50721975,157.740391172,1043.72337308,7468.47691668,3590.22030348,81.8623569579,368.060384665,135.45890928,620.888160604,380.731755925,1224.12734351,2671.45964255,1170.13591953,2011.23444011,299.529283651,73.0846824169,389.694088652,473.120162033,109.54591266,1834.22924182,4680.70377803,701.447008411,4544.00161048,39.9455075273
2011-01-01 13:00:00,1066.96606654,157.655779982,1040.99231062,7462.27267784,3585.22766234,81.8775300808,368.553385632,135.458040853,620.581624566,380.486669999,1224.79535633,2669.48558398,1168.11518451,2010.40969512,299.510694927,73.0699411033,389.540037503,472.881266836,109.667583263,1833.3062927,4675.91428221,700.410292929,4545.54874816,39.9378777421
