,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,0.139872348024,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,574.158829917,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,2.20925635935,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,3076.22514017,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,90.3517781504,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,731.241302249,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,3753.95920307,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,28.8678090283,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,0.00166207719287,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,3169.66064377,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,148.334704183,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,1099.4739466,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,177.662487961,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,52.7363296291,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,1146.86630873,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,0.00720299492358,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3445.16300463,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,0.0113755285997,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,178.963247639,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,0.00898339774202,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,7831.30465008,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,0.0061462757702,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,197.530809534,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,1138.64741662,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,0.00929852057763,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,0.00455577628053,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,1706.54535272,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,86.6688086735,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,637.54187007,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,407.857559133,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,110.740825067,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,0.00411677789851,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,394.274966085,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,3447.52470281,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,1651.11162836,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,11.8791798213,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,21.1964257384,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,368.387040415,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,140.230913522,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,42.2809240448,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,3007.0824413,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,574.493161547,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,266.661363058,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,945.603369666,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,0.0020120004507,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,279.732891252,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,355.260871125,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,184.236555275,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,169.787622405,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,282.444883451,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,166.927489755,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,221.931471424,LV,LT,180.803907912
