,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,1019.35123216,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,1794.98952616,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,2156.3205732,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,26273.3053736,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,13343.276176,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,6158.649425,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,6291.08503918,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,1998.4238308,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,10300.6075253,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,14352.2156727,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,14908.8845954,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,13423.9143576,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,1208.18153612,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,227.226317371,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,6935.92452452,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,19142.2956723,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3417.01523399,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,12120.1333245,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,7119.64925966,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,13008.402773,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,21731.9883404,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,3709.33841069,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,15525.0028898,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,2696.18869102,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,2170.44066338,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,12493.6342881,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,10711.8441703,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,4869.82993735,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,7144.8434417,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,1707.89375142,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,1979.43697976,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,3305.40221606,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,3401.82723173,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,8290.2629503,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,3158.3206372,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,33.3258916547,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,2004.20199601,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,4780.97580256,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,4068.4955225,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,0.0159326195761,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,8033.40666637,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,1019.62118708,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,2396.82219641,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,8649.40786141,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,1931.43744743,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,21401.9898594,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,900.084212207,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,3230.24618584,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,267.959805763,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,207.870717862,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,2572.35003517,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,5933.91303131,LV,LT,180.803907912
