,bus,p_min_pu_fixed,capital_cost,p_nom_extendable,p_nom,p_nom_opt,carrier,cyclic_state_of_charge,max_hours,efficiency_store,efficiency_dispatch
CH battery,CH,-1.0,120388.58286,True,0.0,0.164289998152,battery,True,6.0,0.9,0.9
HR PHS,HR,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
HR hydro,HR,0.0,0.0,False,1200.0,1200.0,hydro,True,2333.33333333,0.0,1.0
HR H2,HR,-1.0,195362.993923,True,0.0,0.0270837478417,H2,True,168.0,0.75,0.58
HR battery,HR,-1.0,120388.58286,True,0.0,455.082795317,battery,True,6.0,0.9,0.9
RO PHS,RO,-1.0,0.0,False,90.0,90.0,PHS,True,6.0,0.866025403784,0.866025403784
RO hydro,RO,0.0,0.0,False,3846.98608993,3846.98608993,hydro,True,3145.31940515,0.0,1.0
RO H2,RO,-1.0,195362.993923,True,0.0,0.0201621289959,H2,True,168.0,0.75,0.58
RO battery,RO,-1.0,120388.58286,True,0.0,2877.63086517,battery,True,6.0,0.9,0.9
CZ PHS,CZ,-1.0,0.0,False,680.0,680.0,PHS,True,6.0,0.866025403784,0.866025403784
CZ hydro,CZ,0.0,0.0,False,1989.0,1989.0,hydro,True,754.147812971,0.0,1.0
CZ H2,CZ,-1.0,195362.993923,True,0.0,0.221075371798,H2,True,168.0,0.75,0.58
CZ battery,CZ,-1.0,120388.58286,True,0.0,0.140137379141,battery,True,6.0,0.9,0.9
HU hydro,HU,0.0,0.0,False,29.473684212,29.473684212,hydro,True,3392.85714269,0.0,1.0
HU H2,HU,-1.0,195362.993923,True,0.0,0.0355194011615,H2,True,168.0,0.75,0.58
HU battery,HU,-1.0,120388.58286,True,0.0,400.230478283,battery,True,6.0,0.9,0.9
RS PHS,RS,-1.0,0.0,False,610.0,610.0,PHS,True,6.0,0.866025403784,0.866025403784
RS hydro,RS,0.0,0.0,False,390.273556298,390.273556298,hydro,True,0.0,0.0,1.0
RS H2,RS,-1.0,195362.993923,True,0.0,0.0213428529453,H2,True,168.0,0.75,0.58
RS battery,RS,-1.0,120388.58286,True,0.0,842.031845922,battery,True,6.0,0.9,0.9
DE PHS,DE,-1.0,0.0,False,6800.0,6800.0,PHS,True,6.0,0.866025403784,0.866025403784
DE hydro,DE,0.0,0.0,False,1267.13232429,1267.13232429,hydro,True,236.755068314,0.0,1.0
DE H2,DE,-1.0,195362.993923,True,0.0,0.132034505518,H2,True,168.0,0.75,0.58
DE battery,DE,-1.0,120388.58286,True,0.0,0.0370878837578,battery,True,6.0,0.9,0.9
IE PHS,IE,-1.0,0.0,False,290.0,290.0,PHS,True,6.0,0.866025403784,0.866025403784
IE hydro,IE,0.0,0.0,False,424.0,424.0,hydro,True,0.0,0.0,1.0
IE H2,IE,-1.0,195362.993923,True,0.0,17544.5133199,H2,True,168.0,0.75,0.58
IE battery,IE,-1.0,120388.58286,True,0.0,0.0399379596342,battery,True,6.0,0.9,0.9
SE PHS,SE,-1.0,0.0,False,100.0,100.0,PHS,True,6.0,0.866025403784,0.866025403784
SE hydro,SE,0.0,0.0,False,9846.0,9846.0,hydro,True,3432.86613853,0.0,1.0
SE H2,SE,-1.0,195362.993923,True,0.0,2545.71587109,H2,True,168.0,0.75,0.58
SE battery,SE,-1.0,120388.58286,True,0.0,0.0306456560538,battery,True,6.0,0.9,0.9
DK H2,DK,-1.0,195362.993923,True,0.0,8453.49509029,H2,True,168.0,0.75,0.58
DK battery,DK,-1.0,120388.58286,True,0.0,0.0368541619009,battery,True,6.0,0.9,0.9
IT PHS,IT,-1.0,0.0,False,7550.0,7550.0,PHS,True,6.0,0.866025403784,0.866025403784
IT hydro,IT,0.0,0.0,False,13128.0,13128.0,hydro,True,601.767215113,0.0,1.0
IT H2,IT,-1.0,195362.993923,True,0.0,0.0472319078152,H2,True,168.0,0.75,0.58
IT battery,IT,-1.0,120388.58286,True,0.0,12113.3260471,battery,True,6.0,0.9,0.9
SI PHS,SI,-1.0,0.0,False,180.0,180.0,PHS,True,6.0,0.866025403784,0.866025403784
SI hydro,SI,0.0,0.0,False,750.0,750.0,hydro,True,2933.33333333,0.0,1.0
SI H2,SI,-1.0,195362.993923,True,0.0,0.0465864766099,H2,True,168.0,0.75,0.58
SI battery,SI,-1.0,120388.58286,True,0.0,0.213488025913,battery,True,6.0,0.9,0.9
ES PHS,ES,-1.0,0.0,False,2750.0,2750.0,PHS,True,6.0,0.866025403784,0.866025403784
ES hydro,ES,0.0,0.0,False,17505.6480907,17505.6480907,hydro,True,1051.0893344,0.0,1.0
ES H2,ES,-1.0,195362.993923,True,0.0,0.053862744259,H2,True,168.0,0.75,0.58
ES battery,ES,-1.0,120388.58286,True,0.0,21322.4046849,battery,True,6.0,0.9,0.9
LU PHS,LU,-1.0,0.0,False,1290.0,1290.0,PHS,True,6.0,0.866025403784,0.866025403784
LU hydro,LU,0.0,0.0,False,345.277777828,345.277777828,hydro,True,0.0,0.0,1.0
LU H2,LU,-1.0,195362.993923,True,0.0,0.0294015765139,H2,True,168.0,0.75,0.58
LU battery,LU,-1.0,120388.58286,True,0.0,0.0165172797244,battery,True,6.0,0.9,0.9
SK PHS,SK,-1.0,0.0,False,920.0,920.0,PHS,True,6.0,0.866025403784,0.866025403784
SK H2,SK,-1.0,195362.993923,True,0.0,0.0566433532708,H2,True,168.0,0.75,0.58
SK battery,SK,-1.0,120388.58286,True,0.0,0.0741736821158,battery,True,6.0,0.9,0.9
EE H2,EE,-1.0,195362.993923,True,0.0,548.311334955,H2,True,168.0,0.75,0.58
EE battery,EE,-1.0,120388.58286,True,0.0,0.0528510734826,battery,True,6.0,0.9,0.9
LV H2,LV,-1.0,195362.993923,True,0.0,2453.40811743,H2,True,168.0,0.75,0.58
LV battery,LV,-1.0,120388.58286,True,0.0,0.0425601310493,battery,True,6.0,0.9,0.9
LT PHS,LT,-1.0,0.0,False,760.0,760.0,PHS,True,6.0,0.866025403784,0.866025403784
LT hydro,LT,0.0,0.0,False,528.0,528.0,hydro,True,378.787878788,0.0,1.0
LT H2,LT,-1.0,195362.993923,True,0.0,0.0991943562359,H2,True,168.0,0.75,0.58
LT battery,LT,-1.0,120388.58286,True,0.0,0.0275502406986,battery,True,6.0,0.9,0.9
