,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,934.821688011,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,1522.6248189,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,2470.59695302,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,22816.1479894,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,9898.58904466,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,5751.72188274,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,6114.16939727,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,1605.39845643,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,8798.0050911,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,13064.8704762,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,11761.6681675,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,11290.8638001,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,1166.99664338,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,255.614480257,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,5973.9059753,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,14345.844114,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3721.66508677,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,11267.5317491,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,6732.85591104,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,10920.1243185,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,17766.1318901,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,3166.59628902,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,6669.84547622,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,2371.76957622,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,1857.44024842,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,9487.54167937,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,8481.43164714,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,3268.10233774,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,6499.6813475,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,1513.10848269,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,1683.46890746,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,2813.9092257,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,2921.8779707,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,7617.02476283,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,3096.91683221,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,0.105400911492,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,1748.25677104,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,4424.00366441,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,3213.02751677,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,0.00809715760748,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,8404.05058028,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,1446.98284863,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,1909.70220479,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,6847.08759186,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,230.394317068,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,20418.7798599,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,876.576050627,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,3975.16631015,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,380.391482261,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,218.463494632,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,1994.59278326,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,3970.90939204,LV,LT,180.803907912
