,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,1043.54720123,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,3178.61738639,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,2203.92801889,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,28628.9707477,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,17118.070518,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,6100.94773504,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,6641.33390387,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,2681.31921805,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,15739.2684138,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,14989.4778501,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,22672.5931704,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,16987.2780813,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,1259.43300763,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,238.646266505,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,7382.37999069,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,30808.6182456,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3054.2138953,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,13672.3759147,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,9051.94156483,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,19005.0392712,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,27453.8410834,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,4380.42969996,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,34290.6295715,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,4052.77182016,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,2352.61965755,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,17584.5601444,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,13562.4678457,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,11273.0431222,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,7164.22785197,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,1278.33824869,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,2536.33333251,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,3730.58562313,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,4052.63453761,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,8645.63087632,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,3363.5425969,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,184.376739527,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,1905.13107486,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,4693.19453218,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,4832.07159528,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,0.0171731294334,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,7739.91987961,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,454.491449778,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,3502.69282459,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,10989.4148309,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,3910.75673605,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,23078.1436524,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,948.258885358,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,2693.96720895,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,490.623463788,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,184.261983221,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,3364.07379921,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,12966.2596734,LV,LT,180.803907912
