,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,839.978788678,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,759.12186331,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,1103.39029993,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,10694.6340679,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,2175.60560352,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,3627.24083337,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,5578.90857952,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,664.188641818,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,3772.09654244,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,9442.30571241,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,7247.59500118,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,5932.13822737,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,805.400956312,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,127.645517497,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,3377.74360813,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,8176.78042544,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3822.15216644,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,8012.24486072,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,4468.72488412,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,6059.42260539,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,11485.6553712,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,3498.28227102,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,1892.36147993,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,1907.90456512,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,1003.82212518,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,4738.83069888,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,5709.94934063,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,968.547280332,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,2841.41679875,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,780.196213293,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,1056.72989647,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,918.641717448,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,1942.75054707,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,6243.8513073,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,2751.53508229,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,0.0417139275104,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,988.893677267,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,2789.22322782,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,1506.48488437,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,23.0623566827,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,8175.11012252,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,1696.87428062,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,1273.63417072,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,4555.75454381,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,0.010004980511,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,15980.9970255,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,702.264172459,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,2701.79192307,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,760.806273501,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,318.710886703,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,749.008595101,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,842.554818725,LV,LT,180.803907912
