,capital_cost,p_nom_extendable,p_min_pu,p_nom_opt,bus0,bus1,length
AT-CH,0.01,True,-1.0,239.617548506,AT,CH,455.177091484
AT-CZ,0.01,True,-1.0,485.454720454,AT,CZ,254.488642992
AT-HU,0.01,True,-1.0,270.45036154,AT,HU,399.482169132
AT-DE,0.01,True,-1.0,5096.08133765,AT,DE,475.279519782
AT-IT,0.01,True,-1.0,477.039016878,AT,IT,556.690931514
AT-SI,0.01,True,-1.0,1254.87725738,AT,SI,171.129672895
FI-SE,0.01,True,-1.0,4746.92309851,FI,SE,505.83246668
FI-EE,0.01,True,-1.0,233.243239864,FI,EE,648.327891877
NL-NO,0.01,True,-1.0,0.00251581639282,NL,NO,1413.30252526
NL-BE,0.01,True,-1.0,5943.97637176,NL,BE,195.8878197
NL-GB,0.01,True,-1.0,2270.34330069,NL,GB,592.13953258
NL-DE,0.01,True,-1.0,2325.04269087,NL,DE,351.955564602
BA-HR,0.01,True,-1.0,301.68335719,BA,HR,153.326482224
BA-RS,0.01,True,-1.0,140.037298857,BA,RS,240.524560515
FR-BE,0.01,True,-1.0,2237.42044978,FR,BE,474.615168973
FR-GB,0.01,True,-1.0,826.397778509,FR,GB,898.628248634
FR-CH,0.01,True,-1.0,3636.46278304,FR,CH,439.316740086
FR-DE,0.01,True,-1.0,1403.49811686,FR,DE,762.383916009
FR-IT,0.01,True,-1.0,2959.67990044,FR,IT,870.793853805
FR-ES,0.01,True,-1.0,1157.15044389,FR,ES,845.286944639
NO-SE,0.01,True,-1.0,9120.28502377,NO,SE,205.979708223
NO-DK,0.01,True,-1.0,311.74997108,NO,DK,934.58428386
GB-IE,0.01,True,-1.0,755.596534866,GB,IE,365.387294176
PL-CZ,0.01,True,-1.0,1515.48348474,PL,CZ,390.764690832
PL-DE,0.01,True,-1.0,0.0122546874944,PL,DE,633.501854596
PL-SE,0.01,True,-1.0,968.466968452,PL,SE,1200.57121835
PL-SK,0.01,True,-1.0,2472.02841949,PL,SK,380.185425993
PL-LT,0.01,True,-1.0,324.384382795,PL,LT,462.593074899
BG-GR,0.01,True,-1.0,1121.63047728,BG,GR,428.001210175
BG-RO,0.01,True,-1.0,712.983344395,BG,RO,343.383095054
BG-RS,0.01,True,-1.0,246.710053795,BG,RS,392.1583304
GR-IT,0.01,True,-1.0,0.0230794712607,GR,IT,952.950650607
PT-ES,0.01,True,-1.0,596.900930683,PT,ES,384.033095884
CH-DE,0.01,True,-1.0,3500.44204789,CH,DE,502.495645655
CH-IT,0.01,True,-1.0,1434.90462432,CH,IT,539.982221505
HR-HU,0.01,True,-1.0,35.5193853696,HR,HU,320.202492859
HR-RS,0.01,True,-1.0,142.9261619,HR,RS,360.940732044
HR-SI,0.01,True,-1.0,653.650849924,HR,SI,164.433264503
RO-HU,0.01,True,-1.0,435.46674374,RO,HU,450.860863982
RO-RS,0.01,True,-1.0,74.3166641881,RO,RS,375.377123322
CZ-DE,0.01,True,-1.0,4772.71744697,CZ,DE,381.209103319
CZ-SK,0.01,True,-1.0,882.411069359,CZ,SK,323.513534347
HU-RS,0.01,True,-1.0,405.563076348,HU,RS,344.583137848
HU-SK,0.01,True,-1.0,1416.43645188,HU,SK,171.83622115
DE-SE,0.01,True,-1.0,0.00212562690373,DE,SE,1359.98879908
DE-DK,0.01,True,-1.0,1167.19875878,DE,DK,555.666513618
DE-LU,0.01,True,-1.0,404.721793209,DE,LU,338.148112036
SE-DK,0.01,True,-1.0,742.241037139,SE,DK,843.682025722
SE-LT,0.01,True,-1.0,596.441815921,SE,LT,927.84028323
IT-SI,0.01,True,-1.0,438.190554519,IT,SI,428.745840255
EE-LV,0.01,True,-1.0,234.977423141,EE,LV,210.907839507
LV-LT,0.01,True,-1.0,328.791117884,LV,LT,180.803907912
